Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hong Kong,Hong Kong,1/24/20 17:00,2,,03/21/2020
Macau,Macau,1/24/20 17:00,2,,03/21/2020
Hebei,Mainland China,1/24/20 17:00,2,1,03/21/2020
Gansu,Mainland China,1/24/20 17:00,2,,03/21/2020
Xinjiang,Mainland China,1/24/20 17:00,2,,03/21/2020
Shanxi,Mainland China,1/24/20 17:00,1,,03/21/2020
Inner Mongolia,Mainland China,1/24/20 17:00,1,,03/21/2020
Qinghai,Mainland China,1/24/20 17:00,,,03/21/2020
Washington,US,1/24/20 17:00,1,,03/21/2020
Chicago,US,1/24/20 17:00,1,,03/21/2020
,Japan,1/24/20 17:00,2,,03/21/2020
,Thailand,1/24/20 17:00,5,,03/21/2020
,South Korea,1/24/20 17:00,2,,03/21/2020
,Singapore,1/24/20 17:00,3,,03/21/2020
,Vietnam,1/24/20 17:00,2,,03/21/2020
,France,1/24/20 17:00,2,,03/21/2020
Hubei,Mainland China,1/25/20 17:00,761,40,03/21/2020
Guangdong,Mainland China,1/25/20 17:00,78,,03/21/2020
Zhejiang,Mainland China,1/25/20 17:00,62,,03/21/2020
Chongqing,Mainland China,1/25/20 17:00,57,,03/21/2020
Hunan,Mainland China,1/25/20 17:00,43,,03/21/2020
Beijing,Mainland China,1/25/20 17:00,41,,03/21/2020
Anhui,Mainland China,1/25/20 17:00,39,,03/21/2020
Shanghai,Mainland China,1/25/20 17:00,33,,03/21/2020
Henan,Mainland China,1/25/20 17:00,32,,03/21/2020
Sichuan,Mainland China,1/25/20 17:00,28,,03/21/2020
Shandong,Mainland China,1/25/20 17:00,27,,03/21/2020
Guangxi,Mainland China,1/25/20 17:00,23,,03/21/2020
Hainan,Mainland China,1/25/20 17:00,19,,03/21/2020
Jiangxi,Mainland China,1/25/20 17:00,18,,03/21/2020
Fujian,Mainland China,1/25/20 17:00,18,,03/21/2020
Jiangsu,Mainland China,1/25/20 17:00,18,,03/21/2020
Liaoning,Mainland China,1/25/20 17:00,17,,03/21/2020
Shaanxi,Mainland China,1/25/20 17:00,15,,03/21/2020
Yunnan,Mainland China,1/25/20 17:00,11,,03/21/2020
Tianjin,Mainland China,1/25/20 17:00,10,,03/21/2020
Heilongjiang,Mainland China,1/25/20 17:00,9,1,03/21/2020
Hebei,Mainland China,1/25/20 17:00,8,1,03/21/2020
Inner Mongolia,Mainland China,1/25/20 17:00,7,,03/21/2020
Shanxi,Mainland China,1/25/20 17:00,6,,03/21/2020
Hong Kong,Hong Kong,1/25/20 17:00,5,,03/21/2020
Guizhou,Mainland China,1/25/20 17:00,4,,03/21/2020
Jilin,Mainland China,1/25/20 17:00,4,,03/21/2020
Gansu,Mainland China,1/25/20 17:00,4,,03/21/2020
Ningxia,Mainland China,1/25/20 17:00,3,,03/21/2020
Taiwan,Taiwan,1/25/20 17:00,3,,03/21/2020
Xinjiang,Mainland China,1/25/20 17:00,3,,03/21/2020
Macau,Macau,1/25/20 17:00,2,,03/21/2020
Qinghai,Mainland China,1/25/20 17:00,1,,03/21/2020
Washington,US,1/25/20 17:00,1,,03/21/2020
Illinois,US,1/25/20 17:00,1,,03/21/2020
,Japan,1/25/20 17:00,2,,03/21/2020
,Thailand,1/25/20 17:00,7,,03/21/2020
,South Korea,1/25/20 17:00,2,,03/21/2020
,Singapore,1/25/20 17:00,3,,03/21/2020
,Vietnam,1/25/20 17:00,2,,03/21/2020
,France,1/25/20 17:00,3,,03/21/2020
,Australia,1/25/20 17:00,4,,03/21/2020
,Nepal,1/25/20 17:00,1,,03/21/2020
,Malaysia,1/25/20 17:00,3,,03/21/2020
Hubei,Mainland China,1/26/20 16:00,1058,52,03/21/2020
Guangdong,Mainland China,1/26/20 16:00,111,,03/21/2020
Zhejiang,Mainland China,1/26/20 16:00,104,,03/21/2020
Henan,Mainland China,1/26/20 16:00,83,1,03/21/2020
Chongqing,Mainland China,1/26/20 16:00,75,,03/21/2020
Hunan,Mainland China,1/26/20 16:00,69,,03/21/2020
Beijing,Mainland China,1/26/20 16:00,68,,03/21/2020
Anhui,Mainland China,1/26/20 16:00,60,,03/21/2020
Shandong,Mainland China,1/26/20 16:00,46,,03/21/2020
Sichuan,Mainland China,1/26/20 16:00,44,,03/21/2020
Shanghai,Mainland China,1/26/20 16:00,40,1,03/21/2020
Guangxi,Mainland China,1/26/20 16:00,36,,03/21/2020
Jiangxi,Mainland China,1/26/20 16:00,36,,03/21/2020
Fujian,Mainland China,1/26/20 16:00,35,,03/21/2020
Jiangsu,Mainland China,1/26/20 16:00,33,,03/21/2020
Hainan,Mainland China,1/26/20 16:00,22,,03/21/2020
Shaanxi,Mainland China,1/26/20 16:00,22,,03/21/2020
Liaoning,Mainland China,1/26/20 16:00,21,,03/21/2020
Yunnan,Mainland China,1/26/20 16:00,16,,03/21/2020
Heilongjiang,Mainland China,1/26/20 16:00,15,1,03/21/2020
Tianjin,Mainland China,1/26/20 16:00,14,,03/21/2020
Hebei,Mainland China,1/26/20 16:00,13,1,03/21/2020
Shanxi,Mainland China,1/26/20 16:00,9,,03/21/2020
Hong Kong,Hong Kong,1/26/20 16:00,8,,03/21/2020
Inner Mongolia,Mainland China,1/26/20 16:00,7,,03/21/2020
Gansu,Mainland China,1/26/20 16:00,7,,03/21/2020
Guizhou,Mainland China,1/26/20 16:00,5,,03/21/2020
Macau,Macau,1/26/20 16:00,5,,03/21/2020
Ningxia,Mainland China,1/26/20 16:00,4,,03/21/2020
Jilin,Mainland China,1/26/20 16:00,4,,03/21/2020
Taiwan,Taiwan,1/26/20 16:00,4,,03/21/2020
Xinjiang,Mainland China,1/26/20 16:00,4,,03/21/2020
Qinghai,Mainland China,1/26/20 16:00,1,,03/21/2020
Washington,US,1/26/20 16:00,1,,03/21/2020
Illinois,US,1/26/20 16:00,1,,03/21/2020
California,US,1/26/20 16:00,2,,03/21/2020
Arizona,US,1/26/20 16:00,1,,03/21/2020
,Japan,1/26/20 16:00,4,,03/21/2020
,Thailand,1/26/20 16:00,8,,03/21/2020
,South Korea,1/26/20 16:00,3,,03/21/2020
,Singapore,1/26/20 16:00,4,,03/21/2020
,Vietnam,1/26/20 16:00,2,,03/21/2020
,France,1/26/20 16:00,3,,03/21/2020
,Australia,1/26/20 16:00,4,,03/21/2020
,Nepal,1/26/20 16:00,1,,03/21/2020
,Malaysia,1/26/20 16:00,4,,03/21/2020
Ontario,Canada,1/26/20 16:00,1,,03/21/2020
Hubei,Mainland China,1/27/20 23:59,1423,76,03/21/2020
Guangdong,Mainland China,1/27/20 23:59,151,,03/21/2020
Zhejiang,Mainland China,1/27/20 23:59,128,,03/21/2020
Henan,Mainland China,1/27/20 23:59,128,1,03/21/2020
Chongqing,Mainland China,1/27/20 23:59,110,,03/21/2020
Hunan,Mainland China,1/27/20 23:59,100,,03/21/2020
Beijing,Mainland China,1/27/20 23:59,80,1,03/21/2020
Shandong,Mainland China,1/27/20 23:59,75,,03/21/2020
Jiangxi,Mainland China,1/27/20 23:59,72,,03/21/2020
Anhui,Mainland China,1/27/20 23:59,70,,03/21/2020
Sichuan,Mainland China,1/27/20 23:59,69,,03/21/2020
Fujian,Mainland China,1/27/20 23:59,59,,03/21/2020
Shanghai,Mainland China,1/27/20 23:59,53,1,03/21/2020
Jiangsu,Mainland China,1/27/20 23:59,47,,03/21/2020
Guangxi,Mainland China,1/27/20 23:59,46,,03/21/2020
Shaanxi,Mainland China,1/27/20 23:59,35,,03/21/2020
Hainan,Mainland China,1/27/20 23:59,33,1,03/21/2020
Liaoning,Mainland China,1/27/20 23:59,27,,03/21/2020
Yunnan,Mainland China,1/27/20 23:59,26,,03/21/2020
Tianjin,Mainland China,1/27/20 23:59,23,,03/21/2020
Heilongjiang,Mainland China,1/27/20 23:59,21,1,03/21/2020
Hebei,Mainland China,1/27/20 23:59,18,1,03/21/2020
Gansu,Mainland China,1/27/20 23:59,14,,03/21/2020
Shanxi,Mainland China,1/27/20 23:59,13,,03/21/2020
Inner Mongolia,Mainland China,1/27/20 23:59,11,,03/21/2020
Hong Kong,Hong Kong,1/27/20 23:59,8,,03/21/2020
Guizhou,Mainland China,1/27/20 23:59,7,,03/21/2020
Ningxia,Mainland China,1/27/20 23:59,7,,03/21/2020
Jilin,Mainland China,1/27/20 23:59,6,,03/21/2020
Macau,Macau,1/27/20 23:59,6,,03/21/2020
Qinghai,Mainland China,1/27/20 23:59,6,,03/21/2020
Taiwan,Taiwan,1/27/20 23:59,5,,03/21/2020
Xinjiang,Mainland China,1/27/20 23:59,5,,03/21/2020
Washington,US,1/27/20 23:59,1,,03/21/2020
Illinois,US,1/27/20 23:59,1,,03/21/2020
California,US,1/27/20 23:59,2,,03/21/2020
Arizona,US,1/27/20 23:59,1,,03/21/2020
,Japan,1/27/20 23:59,4,,03/21/2020
,Thailand,1/27/20 23:59,8,,03/21/2020
,South Korea,1/27/20 23:59,4,,03/21/2020
,Singapore,1/27/20 23:59,5,,03/21/2020
,Vietnam,1/27/20 23:59,2,,03/21/2020
,France,1/27/20 23:59,3,,03/21/2020
,Nepal,1/27/20 23:59,1,,03/21/2020
,Malaysia,1/27/20 23:59,4,,03/21/2020
Ontario,Canada,1/27/20 23:59,1,,03/21/2020
,Cambodia,1/27/20 23:59,1,,03/21/2020
,Sri Lanka,1/27/20 23:59,1,,03/21/2020
,Ivory Coast,1/27/20 23:59,1,,03/21/2020
New South Wales,Australia,1/27/20 23:59,4,,03/21/2020
Victoria,Australia,1/27/20 23:59,1,,03/21/2020
Hubei,Mainland China,1/28/20 23:00,3554,125,03/21/2020
Guangdong,Mainland China,1/28/20 23:00,207,,03/21/2020
Zhejiang,Mainland China,1/28/20 23:00,173,,03/21/2020
Henan,Mainland China,1/28/20 23:00,168,1,03/21/2020
Hunan,Mainland China,1/28/20 23:00,143,,03/21/2020
Chongqing,Mainland China,1/28/20 23:00,132,,03/21/2020
Jiangxi,Mainland China,1/28/20 23:00,109,,03/21/2020
Anhui,Mainland China,1/28/20 23:00,106,,03/21/2020
Shandong,Mainland China,1/28/20 23:00,95,,03/21/2020
Beijing,Mainland China,1/28/20 23:00,91,1,03/21/2020
Sichuan,Mainland China,1/28/20 23:00,90,,03/21/2020
Fujian,Mainland China,1/28/20 23:00,80,,03/21/2020
Jiangsu,Mainland China,1/28/20 23:00,70,,03/21/2020
Shanghai,Mainland China,1/28/20 23:00,66,1,03/21/2020
Guangxi,Mainland China,1/28/20 23:00,51,,03/21/2020
Shaanxi,Mainland China,1/28/20 23:00,46,,03/21/2020
Yunnan,Mainland China,1/28/20 23:00,44,,03/21/2020
Hainan,Mainland China,1/28/20 23:00,40,1,03/21/2020
Liaoning,Mainland China,1/28/20 23:00,34,,03/21/2020
Hebei,Mainland China,1/28/20 23:00,33,1,03/21/2020
Heilongjiang,Mainland China,1/28/20 23:00,33,1,03/21/2020
Shanxi,Mainland China,1/28/20 23:00,27,,03/21/2020
Tianjin,Mainland China,1/28/20 23:00,24,,03/21/2020
Gansu,Mainland China,1/28/20 23:00,19,,03/21/2020
Inner Mongolia,Mainland China,1/28/20 23:00,15,,03/21/2020
Ningxia,Mainland China,1/28/20 23:00,11,,03/21/2020
Xinjiang,Mainland China,1/28/20 23:00,10,,03/21/2020
Guizhou,Mainland China,1/28/20 23:00,9,,03/21/2020
Jilin,Mainland China,1/28/20 23:00,8,,03/21/2020
Taiwan,Taiwan,1/28/20 23:00,8,,03/21/2020
Hong Kong,Hong Kong,1/28/20 23:00,8,,03/21/2020
Macau,Macau,1/28/20 23:00,7,,03/21/2020
Qinghai,Mainland China,1/28/20 23:00,6,,03/21/2020
Washington,US,1/28/20 23:00,1,,03/21/2020
Illinois,US,1/28/20 23:00,1,,03/21/2020
California,US,1/28/20 23:00,2,,03/21/2020
Arizona,US,1/28/20 23:00,1,,03/21/2020
,Japan,1/28/20 23:00,7,,03/21/2020
,Thailand,1/28/20 23:00,14,,03/21/2020
,South Korea,1/28/20 23:00,4,,03/21/2020
,Singapore,1/28/20 23:00,7,,03/21/2020
,Vietnam,1/28/20 23:00,2,,03/21/2020
,France,1/28/20 23:00,4,,03/21/2020
,Nepal,1/28/20 23:00,1,,03/21/2020
,Malaysia,1/28/20 23:00,4,,03/21/2020
Ontario,Canada,1/28/20 23:00,1,,03/21/2020
British Columbia,Canada,1/28/20 23:00,1,,03/21/2020
,Cambodia,1/28/20 23:00,1,,03/21/2020
,Sri Lanka,1/28/20 23:00,1,,03/21/2020
New South Wales,Australia,1/28/20 23:00,4,,03/21/2020
Victoria,Australia,1/28/20 23:00,1,,03/21/2020
Bavaria,Germany,1/28/20 23:00,4,,03/21/2020
Hubei,Mainland China,1/29/20 19:30,3554,125,03/21/2020
Zhejiang,Mainland China,1/29/20 19:30,296,,03/21/2020
Guangdong,Mainland China,1/29/20 19:30,277,,03/21/2020
Hunan,Mainland China,1/29/20 19:30,221,,03/21/2020
Henan,Mainland China,1/29/20 19:30,206,2,03/21/2020
Anhui,Mainland China,1/29/20 19:30,152,,03/21/2020
Chongqing,Mainland China,1/29/20 19:30,147,,03/21/2020
Shandong,Mainland China,1/29/20 19:30,130,,03/21/2020
Beijing,Mainland China,1/29/20 19:30,111,1,03/21/2020
Jiangxi,Mainland China,1/29/20 19:30,109,,03/21/2020
Sichuan,Mainland China,1/29/20 19:30,108,1,03/21/2020
Jiangsu,Mainland China,1/29/20 19:30,99,,03/21/2020
Shanghai,Mainland China,1/29/20 19:30,96,1,03/21/2020
Fujian,Mainland China,1/29/20 19:30,84,,03/21/2020
Guangxi,Mainland China,1/29/20 19:30,58,,03/21/2020
Shaanxi,Mainland China,1/29/20 19:30,56,,03/21/2020
Yunnan,Mainland China,1/29/20 19:30,55,,03/21/2020
Hebei,Mainland China,1/29/20 19:30,48,1,03/21/2020
Hainan,Mainland China,1/29/20 19:30,43,1,03/21/2020
Liaoning,Mainland China,1/29/20 19:30,39,,03/21/2020
Heilongjiang,Mainland China,1/29/20 19:30,38,1,03/21/2020
Tianjin,Mainland China,1/29/20 19:30,27,,03/21/2020
Shanxi,Mainland China,1/29/20 19:30,27,,03/21/2020
Gansu,Mainland China,1/29/20 19:30,24,,03/21/2020
Inner Mongolia,Mainland China,1/29/20 19:30,16,,03/21/2020
Xinjiang,Mainland China,1/29/20 19:30,13,,03/21/2020
Ningxia,Mainland China,1/29/20 19:30,12,,03/21/2020
Hong Kong,Hong Kong,1/29/20 19:30,10,,03/21/2020
Guizhou,Mainland China,1/29/20 19:30,9,,03/21/2020
Jilin,Mainland China,1/29/20 19:30,9,,03/21/2020
Taiwan,Taiwan,1/29/20 19:30,8,,03/21/2020
Macau,Macau,1/29/20 19:30,7,,03/21/2020
Qinghai,Mainland China,1/29/20 19:30,6,,03/21/2020
Washington,US,1/29/20 19:30,1,,03/21/2020
Illinois,US,1/29/20 19:30,1,,03/21/2020
California,US,1/29/20 19:30,2,,03/21/2020
Arizona,US,1/29/20 19:30,1,,03/21/2020
,Japan,1/29/20 19:30,7,,03/21/2020
,Thailand,1/29/20 19:30,14,,03/21/2020
,South Korea,1/29/20 19:30,4,,03/21/2020
,Singapore,1/29/20 19:30,7,,03/21/2020
,Vietnam,1/29/20 19:30,2,,03/21/2020
,France,1/29/20 19:30,5,,03/21/2020
,Nepal,1/29/20 19:30,1,,03/21/2020
,Malaysia,1/29/20 19:30,7,,03/21/2020
Ontario,Canada,1/29/20 19:30,1,,03/21/2020
British Columbia,Canada,1/29/20 19:30,1,,03/21/2020
,Cambodia,1/29/20 19:30,1,,03/21/2020
,Sri Lanka,1/29/20 19:30,1,,03/21/2020
New South Wales,Australia,1/29/20 19:30,4,,03/21/2020
Victoria,Australia,1/29/20 19:30,1,,03/21/2020
Bavaria,Germany,1/29/20 19:30,4,,03/21/2020
,Finland,1/29/20 19:30,1,,03/21/2020
,United Arab Emirates,1/29/20 19:30,4,,03/21/2020
Hubei,Mainland China,1/30/20 16:00,4903,162,03/21/2020
Zhejiang,Mainland China,1/30/20 16:00,428,,03/21/2020
Guangdong,Mainland China,1/30/20 16:00,354,,03/21/2020
Henan,Mainland China,1/30/20 16:00,278,2,03/21/2020
Hunan,Mainland China,1/30/20 16:00,277,,03/21/2020
Anhui,Mainland China,1/30/20 16:00,200,,03/21/2020
Chongqing,Mainland China,1/30/20 16:00,182,,03/21/2020
Jiangxi,Mainland China,1/30/20 16:00,162,,03/21/2020
Shandong,Mainland China,1/30/20 16:00,158,,03/21/2020
Sichuan,Mainland China,1/30/20 16:00,142,1,03/21/2020
Jiangsu,Mainland China,1/30/20 16:00,129,,03/21/2020
Beijing,Mainland China,1/30/20 16:00,114,1,03/21/2020
Shanghai,Mainland China,1/30/20 16:00,112,1,03/21/2020
Fujian,Mainland China,1/30/20 16:00,101,,03/21/2020
Guangxi,Mainland China,1/30/20 16:00,78,,03/21/2020
Yunnan,Mainland China,1/30/20 16:00,70,,03/21/2020
Hebei,Mainland China,1/30/20 16:00,65,1,03/21/2020
Shaanxi,Mainland China,1/30/20 16:00,63,,03/21/2020
Hainan,Mainland China,1/30/20 16:00,46,1,03/21/2020
Heilongjiang,Mainland China,1/30/20 16:00,44,2,03/21/2020
Liaoning,Mainland China,1/30/20 16:00,41,,03/21/2020
Shanxi,Mainland China,1/30/20 16:00,35,,03/21/2020
Tianjin,Mainland China,1/30/20 16:00,31,,03/21/2020
Gansu,Mainland China,1/30/20 16:00,26,,03/21/2020
Inner Mongolia,Mainland China,1/30/20 16:00,19,,03/21/2020
Ningxia,Mainland China,1/30/20 16:00,17,,03/21/2020
Jilin,Mainland China,1/30/20 16:00,14,,03/21/2020
Xinjiang,Mainland China,1/30/20 16:00,14,,03/21/2020
Guizhou,Mainland China,1/30/20 16:00,12,,03/21/2020
Hong Kong,Hong Kong,1/30/20 16:00,10,,03/21/2020
Taiwan,Taiwan,1/30/20 16:00,9,,03/21/2020
Qinghai,Mainland China,1/30/20 16:00,8,,03/21/2020
Macau,Macau,1/30/20 16:00,7,,03/21/2020
Tibet,Mainland China,1/30/20 16:00,1,,03/21/2020
Washington,US,1/30/20 16:00,1,,03/21/2020
Illinois,US,1/30/20 16:00,1,,03/21/2020
California,US,1/30/20 16:00,2,,03/21/2020
Arizona,US,1/30/20 16:00,1,,03/21/2020
,Japan,1/30/20 16:00,11,,03/21/2020
,Thailand,1/30/20 16:00,14,,03/21/2020
,South Korea,1/30/20 16:00,4,,03/21/2020
,Singapore,1/30/20 16:00,10,,03/21/2020
,Vietnam,1/30/20 16:00,2,,03/21/2020
,France,1/30/20 16:00,5,,03/21/2020
,Nepal,1/30/20 16:00,1,,03/21/2020
,Malaysia,1/30/20 16:00,8,,03/21/2020
Ontario,Canada,1/30/20 16:00,2,,03/21/2020
British Columbia,Canada,1/30/20 16:00,1,,03/21/2020
,Cambodia,1/30/20 16:00,1,,03/21/2020
,Sri Lanka,1/30/20 16:00,1,,03/21/2020
New South Wales,Australia,1/30/20 16:00,4,,03/21/2020
Victoria,Australia,1/30/20 16:00,2,,03/21/2020
Queensland,Australia,1/30/20 16:00,3,,03/21/2020
Bavaria,Germany,1/30/20 16:00,4,,03/21/2020
,Finland,1/30/20 16:00,1,,03/21/2020
,United Arab Emirates,1/30/20 16:00,4,,03/21/2020
,Philippines,1/30/20 16:00,1,,03/21/2020
,India,1/30/20 16:00,1,,03/21/2020
Hubei,Mainland China,1/31/2020 23:59,5806,204,03/21/2020
Zhejiang,Mainland China,1/31/2020 23:59,538,,03/21/2020
Guangdong,Mainland China,1/31/2020 23:59,436,,03/21/2020
Henan,Mainland China,1/31/2020 23:59,352,2,03/21/2020
Hunan,Mainland China,1/31/2020 23:59,332,,03/21/2020
Jiangxi,Mainland China,1/31/2020 23:59,240,,03/21/2020
Anhui,Mainland China,1/31/2020 23:59,237,,03/21/2020
Chongqing,Mainland China,1/31/2020 23:59,211,,03/21/2020
Shandong,Mainland China,1/31/2020 23:59,184,,03/21/2020
Sichuan,Mainland China,1/31/2020 23:59,177,1,03/21/2020
Jiangsu,Mainland China,1/31/2020 23:59,168,,03/21/2020
Beijing,Mainland China,1/31/2020 23:59,139,1,03/21/2020
Shanghai,Mainland China,1/31/2020 23:59,135,1,03/21/2020
Fujian,Mainland China,1/31/2020 23:59,120,,03/21/2020
Guangxi,Mainland China,1/31/2020 23:59,87,,03/21/2020
Shaanxi,Mainland China,1/31/2020 23:59,87,,03/21/2020
Yunnan,Mainland China,1/31/2020 23:59,83,,03/21/2020
Hebei,Mainland China,1/31/2020 23:59,82,1,03/21/2020
Heilongjiang,Mainland China,1/31/2020 23:59,59,2,03/21/2020
Hainan,Mainland China,1/31/2020 23:59,52,1,03/21/2020
Liaoning,Mainland China,1/31/2020 23:59,48,,03/21/2020
Shanxi,Mainland China,1/31/2020 23:59,39,,03/21/2020
Tianjin,Mainland China,1/31/2020 23:59,32,,03/21/2020
Guizhou,Mainland China,1/31/2020 23:59,29,,03/21/2020
